번호,국가_정리,발명명칭,분류,출원인,출원인그룹,출원일자,출원연도,출원월,등록일자,등록연도,출원등록일수차,등록기간범주,청구항개수,청구항범주,IPC,IPC대분류,IPC코드수,CPC,CPC코드수,기술영역,요약,요약길이,복잡도점수,국제공개번호,출원번호
690,US,VISION-POWERED AUTO-SCROLL FOR LISTS,A1,GOOGLE LLC,Google,2022-03-28,2022,3,,,,미등록(A1 등),1,1~5항,G06Q30/06|G06F3/01|G02B27/01|G06F3/0485,"['G06Q', 'G06F', 'G02B', 'G06F']",4,G02B27/017|G06F3/011|G06V20/20|G06V20/68|G02B27/0179|G02B27/0093|G02B2027/0138|G06V10/94|G06V10/17|G06Q30/0641|G06Q30/0633|G06Q30/0639|G02B2027/0178|G06F3/013|G06F3/0485,15,"['광학부품(Optics)', '컴퓨팅/인터페이스(Computing)']","A computer-implemented method includes displaying item line entries of at least a portion of a list on a user interface (UI) in a pair of smart glasses worn by a person. The item line entries in the list correspond to different items in a store. The method further includes capturing an image of an item in the store held in hand by the person, based on the captured image, identifying an item line entry in the list corresponding to the item held in hand by the person, and automatically scrolling through the list to the item line entry in the list corresponding to the item held in hand by the person.",604,7.5,,17656783
691,US,High voltage optical transformer integration,B2,"META PLATFORMS TECHNOLOGIES, LLC",Meta Platforms,2020-12-16,2020,12,2024-11-26,2024,1441,3~5년,1,1~5항,H02M3/00|G02B3/12|G21K5/00|H01L23/00|H01L23/31|H01L31/12|H02N2/04,"['H02M', 'G02B', 'G21K', 'H01L', 'H01L', 'H01L', 'H02N']",7,H02M3/156|Y02E10/50|G02B3/12|H01L23/3114|G02B27/017|H01L23/562|H10F19/00|H01L31/12|H10F55/25|H10F77/1698|H02M3/00|G21K5/00|H02N2/04|H10F55/00|H10W42/121|H10W74/129,16,['광학부품(Optics)'],"A high voltage-driven system includes a high voltage optical transformer and a high voltage driven device, where the high voltage optical transformer is located in close proximity to the high voltage driven device. A high voltage connection between the high voltage optical transformer and the high voltage driven device may be shorter than a low voltage connection between the high voltage optical transformer and a low voltage power source used to control the transformer.",474,9.4,,17123674
692,WO,SYSTEMS AND METHODS OF FUSING COMPUTER-GENERATED PREDICTED IMAGE FRAMES WITH CAPTURED IMAGES FRAMES TO CREATE A HIGH- DYNAMIC-RANGE VIDEO HAVING A HIGH NUMBER OF FRAMES PER SECOND,A1,"META PLATFORMS TECHNOLOGIES, LLC",Meta Platforms,2022-11-07,2022,11,,,,미등록(A1 등),15,6~15항,G06T5/00|G06T5/50,"['G06T', 'G06T']",2,G06T5/50|G06T2207/10016|G06T2207/10144|G06T2207/20084|G06T2207/20208|G06T2207/20221|G06T5/92|G06T5/60,8,['영상처리(Image)'],"A method of using computer-generated predicted image frames to create a high-dynamic- range (HDR) video is described. A method includes receiving first and second captured image frames via an image sensor. The first captured image frame represents a scene in the real-world at a first point in time and the second captured image frame represents the scene in the real-world at a second point in time that is after the first point in time. The method further includes in accordance with a determination that the first captured image frame and the second captured image frame will be used to produce an HDR video, generating a computer-generated predicted image frame representing the scene in the real-world at a time between the first point in time and the second point in time and fusing the second image frame with the computer-generated predicted image frame to generate an HDR frame for the HDR video.",905,6.4,WO2023081440,PCT/US2022/049087
693,US,Device access using a head-mounted device,B2,GOOGLE LLC,Google,2020-10-09,2020,10,2024-12-24,2024,1537,3~5년,1,1~5항,G06F21/34|G06F1/16|G06F21/32,"['G06F', 'G06F', 'G06F']",3,G06F1/163|G06F3/011|G06F21/44|G06F21/32|G06F21/34,5,['컴퓨팅/인터페이스(Computing)'],"A head-mounted device (HMD) may be used to determine an access request for accessing a device. An identifier identifying the device may be received at the HMD and from the device. By verifying receipt of the identifier at the HMD, and that access rights associated with the HMD enable granting of the access request, the access request may be granted.",351,3.5,,16949032
694,WO,INCREMENTAL STREAMING FOR LIVE SUMMARIES,A1,GOOGLE LLC,Google,2023-05-10,2023,5,,,,미등록(A1 등),20,16~30항,G06F40/30|G06F40/56|G06F16/34|G10L15/26|G06F40/216|G06F40/279,"['G06F', 'G06F', 'G06F', 'G10L', 'G06F', 'G06F']",6,G06F16/345|G06F40/30|G06F40/56|G06F40/216|G10L15/26|G06F40/284|G06F3/011|G09B21/009|G02B2027/014|G09B19/06|G06F40/166|G06F40/20|G06F40/58|G06F40/35|G06F40/47|G06F40/40|G06F3/0485|G10L15/1815|G10L15/22,19,['컴퓨팅/인터페이스(Computing)'],"Described techniques may be utilized to process transcribed text of a transcription stream (302) in an incremental fashion. For example, a first summary of first transcribed text may be generated, without requiring knowledge or receipt of second or subsequent transcribed text, and without requiring detection of a detected or manual summarization trigger. Similarly, a second summary of second transcribed text may be generated without requiring knowledge or receipt of third transcribed text. Accordingly, a summary stream (310) of summarized text may be provided in a stable fashion, without overwriting previously generated summaries as new summaries are generated.",669,13.1,WO2023220204,PCT/US2023/021771
695,US,Occlusion of virtual objects in augmented reality by physical objects,B2,"Meta Platforms Technologies, LLC",Meta Platforms,2021-07-14,2021,7,2023-01-17,2023,552,1~2년,1,1~5항,G06T19/00|G06T17/20,"['G06T', 'G06T']",2,G06F3/011|G06F3/017|G06F3/04815|G06T19/003|G06T17/20,5,['영상처리(Image)'],"In one embodiment, one or more computing devices access an image comprising at least a portion of a hand of a user of a head-mounted display and generate a planar representation of the hand and a height map associated with the planar representation. A first portion of the planar representation that is closer than a first portion of a virtual object to a viewpoint and a second portion of the planar representation that is farther than a second portion of the virtual object from the viewpoint is determined based on the height map and the virtual object. A display image is rendered from the viewpoint for display, the display image comprising a first set of pixels corresponding to the first portion of the planar representation and a second set of pixels corresponding to the second portion of the virtual object.",817,3,,17375965
696,US,Head mounted display with lightguide and multiple combiners,B2,GOOGLE LLC,Google,2019-12-04,2019,12,2024-12-24,2024,1847,5년 초과,1,1~5항,G02B27/00|G02B5/04|G02B27/01|G02B27/28|G02F1/31,"['G02B', 'G02B', 'G02B', 'G02B', 'G02F']",5,G02B5/045|G02B27/0172|G02B2027/0125|G02B2027/0134|G02B2027/0127|G02B27/283|G02B5/04|G02B2027/0132|G02B2027/0178|G02F1/31,10,"['디스플레이(Display)', '광학부품(Optics)']","A head mounted display (HMD) provides multiple fields of view of a single micro-display by time-multiplexing the provision of light of different polarizations. The HMD includes a micro-display, a lightguide, and a plurality of combiners coupled to the lightguide, wherein each combiner is configured to combine light of a different polarization. For example, the HMD can include two combiners, with one combiner configured to combine P-polarized light and the other combiner configured to combine S-polarized light. A polarizer switch is included in a filter stack for the lightguide, and a control module controls the switch to alternate the provision of light having P-polarization and S-polarization, respectively. The light of each polarization provides a different field of view of the micro-display.",805,6.2,WO2020256769,17431986
697,US,Devices and Methods for Sensing Brain Blood Flow Using Head Mounted Display Devices,A1,"META PLATFORMS TECHNOLOGIES, LLC",Meta Platforms,2021-11-16,2021,11,,,,미등록(A1 등),1,1~5항,A61B5/00|A61B5/026|G02B27/01,"['A61B', 'A61B', 'G02B']",3,G02B2027/0178|G02B27/0176|G02B27/0172|G02B27/017|G02B2027/014|A61B5/14552|G02B2027/0138|G02B27/0093|G02B2027/0187|A61B5/0261|A61B5/4064|A61B5/6803|A61B2562/0238,13,"['바이오/웨어러블(Bio)', '광학부품(Optics)']",A head-mounted display device includes a display panel positioned to provide an image toward an eye of a wearer of the head-mounted display device; one or more light sources positioned to provide illumination light toward a head of the wearer; and one or more light detectors for receiving a portion of the illumination light that has been scattered by the head of the wearer so that one or more characteristics associated with a blood flow in the head of the wearer are determined based on the received portion of the illumination light. A method of determining one or more characteristics associated with a blood flow in a head of a wearer of the head-mounted display device is also described.,695,6.3,,17528135
698,US,Occlusion of virtual objects in augmented reality by physical objects,B2,"Meta Platforms Technologies, LLC",Meta Platforms,2022-12-29,2022,12,2024-04-09,2024,467,1~2년,1,1~5항,G06T19/00|G06T17/20,"['G06T', 'G06T']",2,G06F3/011|G06F3/017|G06F3/04815|G06T19/003|G06T17/20,5,['영상처리(Image)'],"In one embodiment, a method includes by one or more computing devices, accessing an image including a hand of a user of a head-mounted display at a first time. The method includes generating, from at least the image, a virtual object representation of the hand, defined in a virtual environment that includes at least one other virtual object. The method includes rendering a first image of the virtual environment comprising a first portion of the hand of the user at a first frame rate, and determining a second viewpoint of the user at a second time. The method includes rendering a second image of the virtual environment comprising a second portion of the hand of the user at a second frame rate. The method includes providing, to a set of light emitters of the head-mounted display, instructions to display the second image.",830,3,,18148133
699,EP,ANTENNA NESTED AUDIO ASSEMBLY,A1,"Meta Platforms Technologies, LLC",Meta Platforms,2024-01-23,2024,1,,,,미등록(A1 등),0,추출불가,H01Q1/27|H01Q9/04|H01Q9/06|H01Q9/42|H01Q21/28|G02B27/01|H04R1/10,"['H01Q', 'H01Q', 'H01Q', 'H01Q', 'H01Q', 'G02B', 'H04R']",7,H01Q1/50|H01Q21/00|H01Q21/28|H01Q1/273|H01Q9/42|H01Q9/0421|H01Q9/065|G02B27/017,8,"['영상/음향전송(AV)', '광학부품(Optics)']","The disclosed system may include an antenna of a specified antenna type positioned on one side of the system within an audio module that includes an audio transducer. The system may also include another antenna of the specified antenna type positioned on a different side of the system within a different audio module. The various antennas may be configured to operate independently on the different respective sides of the system to provide uncorrelated data streams that include at least a minimum specified operational diversity. Various other mobile electronic devices, apparatuses, and methods are also disclosed.",618,6.3,,24153395.9
700,EP,OCULAR VIDEO STABILIZATION,A1,Google LLC,Google,2017-11-08,2017,11,,,,미등록(A1 등),0,추출불가,H04N5/232|G02B27/01|H04N13/344|H04N13/383|H04N13/371,"['H04N', 'G02B', 'H04N', 'H04N', 'H04N']",5,G06F3/013|G02B27/017|H04N13/344|H04N13/383|G02B2027/0178|G02B2027/0138|G02B2027/0134|G02B2027/0187|G02B2027/014|H04N23/6812|H04N23/683|G06T7/246|G02B27/0093|G06V20/20|H04N23/681|H04N23/682|H04N13/204|G02B27/0172|G02B27/0176|G06T19/006,20,"['영상/음향전송(AV)', '광학부품(Optics)']","A system and method for ocular stabilization of video images is disclosed. While capturing video images in a forward field of view with a forward-facing video camera of a wearable head-mountable device (HMD), binocular eye-gaze directions of left and right eyes of a user of the HMD may be obtained with an eye-tracking device of the HMD. Based on the obtained binocular eye-gaze directions of left and right eyes of the user of the HMD, convergent gaze directions of the user may be determined as a function of time during an interval concurrent with the capturing of the video images. The captured video images may then be stabilized by compensating for motion of the forward-facing video camera with an intersection of the convergent gaze directions of the user with an image plane of the forward-facing video camera.",820,9.7,,17200621.5
701,US,"Optical lens assemblies, head-mounted displays, and related methods",B1,"META PLATFORMS TECHNOLOGIES, LLC",Meta Platforms,2021-02-19,2021,2,2023-06-27,2023,858,2~3년,1,1~5항,G02B3/14|G02C7/06|G02B27/01|G02B26/06|G02B3/12|G02F1/1362|G02B26/08,"['G02B', 'G02C', 'G02B', 'G02B', 'G02B', 'G02F', 'G02B']",7,G02B3/14|G02B26/06|G02B26/0875|G02B27/017|G02B27/0172|G02B2027/0178|G02C7/06|G02B2027/011|G02B3/12|G02B2027/0107|G02F1/136277|G02B1/10|G02B3/04|G02B26/004|G02B2003/0093|G06F3/013|G02B27/0101,17,"['디스플레이(Display)', '광학부품(Optics)', '착용형광학(Wearable)']","The disclosed optical lens assemblies may include a deformable element, a structural support element, a substantially transparent deformable medium positioned between the deformable element and the structural support element, a compliant peripheral component positioned between peripheral portions of the deformable element and the structural support element, and an actuator configured to displace at least a portion of the compliant peripheral component to deform the deformable element and change at least one optical property of the optical lens assembly. Related head-mounted displays and methods of fabricating such optical lens assemblies are also disclosed.",665,9.7,,17180194
702,US,Optical lens assemblies and related methods,B1,"META PLATFORMS TECHNOLOGIES, LLC",Meta Platforms,2021-01-27,2021,1,2023-06-27,2023,881,2~3년,1,1~5항,G02C7/02|G02B3/14|G02C7/06|G02B27/01|G02B26/06|G02B3/12|G02F1/1362|G02B26/08,"['G02C', 'G02B', 'G02C', 'G02B', 'G02B', 'G02B', 'G02F', 'G02B']",8,G02B3/14|G02B26/06|G02B26/0875|G02B27/017|G02B27/0172|G02B2027/0178|G02C7/06|G02B2027/011|G02B3/12|G02B2027/0107|G02F1/136277|G02B1/10|G02B3/04|G02B26/004|G02B2003/0093|G06F3/013|G02B27/0101,17,"['디스플레이(Display)', '광학부품(Optics)', '착용형광학(Wearable)']","The disclosed optical lens assemblies may include a pre-strained deformable element that exhibits a non-uniform mechanical strain or stress profile, a structural support element coupled to the pre-strained deformable element, and a deformable medium positioned between the pre-strained deformable element and the structural support element. Related head-mounted displays and methods of fabricating such optical lens assemblies are also disclosed.",446,10.2,,17160169
703,WO,PERSPECTIVE-CORRECT PASSTHROUGH ARCHITECTURES FOR HEAD-MOUNTED DISPLAYS,A1,"META PLATFORMS TECHNOLOGIES, LLC",Meta Platforms,2024-01-25,2024,1,,,,미등록(A1 등),15,6~15항,G02B27/01,['G02B'],1,G02B27/0172|G02B27/0075|G02B3/0075,3,['광학부품(Optics)'],"According to examples, an image capture device may include a lens array including lenses supported by a lens support structure, in which the lenses are arranged to capture light rays from multiple view-points. The image capture device may also include a sensor to capture light and convert the captured light into data that is used to form an image and a plurality of apertures positioned between the lenses and the sensor, in which the apertures are positioned with respect to the lenses and the sensor to allow rays of light that would have reached a certain reference location spaced from the sensor to pass through the plurality of apertures. An optimization algorithm may be applied to the collected sensor data to reproduce an image of a scene at a perspective that is intended to match a virtual eye position that is offset from the location of the sensor.",863,4.1,WO2024158986,PCT/US2024/012902
704,US,Message suggestions,B2,Google LLC,Google,2022-01-07,2022,1,2024-06-11,2024,886,2~3년,1,1~5항,H04L51/046|G06N20/00|H04L51/02,"['H04L', 'G06N', 'H04L']",3,H04L51/02|G06N20/00|H04L51/046,3,['AI/비전(AI)'],"A method may involve, for each of one or more messages that are selected from a plurality of messages from an account: (a) extracting one or more phrases from a respective selected message; (b) determining that a conversation includes the respective selected message and one or more other messages from the plurality of messages; (c) generating a first feature vector based on the conversation, wherein the first feature vector includes one or more first features, wherein the one or more first features include one or more words from the conversation; and (d) generating, by a computing system, one or more training-data sets, wherein each training-data set comprises one of the phrases and the first feature vector. The method may further involve: training, by the computing system, a machine-learning application with at least a portion of the one or more training-data sets that are generated for the one or more selected messages; applying the trained machine-learning application to process an incoming message to the account; and responsive to applying the trained machine-learning application, determining one or more reply messages corresponding to the incoming message, wherein the one or more reply messages include at least one of the extracted one or more phrases.",1277,2.7,,17570927
705,US,"Optical lens assemblies, head-mounted displays, and related methods",B1,"META PLATFORMS TECHNOLOGIES, LLC",Meta Platforms,2018-06-28,2018,6,2023-09-19,2023,1909,5년 초과,1,1~5항,G02B3/14|G02B27/01|G06F3/01,"['G02B', 'G02B', 'G06F']",3,G02B3/14|G02B26/06|G02B26/0875|G02B27/017|G02B27/0172|G02B2027/0178|G02C7/06|G02B2027/011|G02B3/12|G02B2027/0107|G02F1/136277|G02B1/10|G02B3/04|G02B26/004|G02B2003/0093|G06F3/013|G02B27/0101,17,"['광학부품(Optics)', '컴퓨팅/인터페이스(Computing)']","The disclosed optical lens assemblies may include a deformable element, a structural support element, and a compliant interface material that is disposed between and couples at least a portion of the deformable element and the structural support element. The deformable element may, when deformed, alter an optical property of the optical lens assembly. The compliant interface material may be configured to compensate for a difference between a physical property of the deformable element and the structural support element. Related head-mounted displays and methods are also disclosed.",587,7.8,,16021650
